# Day,Lon,Lat,Altitude[m],NO,acd_NO,NO2,acd_NO2,O3,acd_O3,FORM,toga_CH2O,HNO3,zhou_HNO3,ISOP,ptrms_isoprene,MEOH,toga_Methanol,MEOH,ptrms_methanol,ALD2,toga_Acetaldehyde,ALD2,ptrms_acetaldehyde,ACET,toga_Acetone,BENZ,toga_Benzene,PRPA,toga_Propane,TERP,ptrms_sum_of_monoterpenes,ISPD+HPLD,ptrms_MVK_MACR
20130603,-87.08658,34.33974,1482.889,0.018,40.989,0.040,63.881,46.940,51.034,0.476,2115.000,0.274,-999.000,0.000,0.207,1.072,2910.000,1.072,-999.000,0.086,351.400,0.086,-999.000,0.716,1455.000,0.003,22.800,0.100,437.000,0.000,-999.000,0.010,-999.000
20130603,-87.08848,34.36914,1847.497,0.027,32.985,0.056,46.755,53.805,56.072,0.350,2115.000,0.242,-999.000,0.000,0.149,0.824,2910.000,0.824,-999.000,0.019,351.400,0.019,-999.000,0.606,1455.000,0.003,22.800,0.100,437.000,0.000,-999.000,0.000,-999.000
20130603,-87.14651,34.37463,2216.519,0.029,25.853,0.058,34.323,56.040,56.249,0.411,1382.000,0.217,-999.000,0.000,0.121,0.949,2212.000,0.949,-999.000,0.055,274.100,0.055,-999.000,0.660,1415.000,0.003,22.360,0.100,455.000,0.000,-999.000,0.000,-999.000
20130603,-87.20718,34.37831,2279.393,0.030,27.103,0.066,29.077,65.821,56.244,0.296,1382.000,0.180,-999.000,0.000,0.145,0.708,2212.000,0.708,-999.000,0.023,274.100,0.023,-999.000,0.582,1415.000,0.001,22.360,0.100,455.000,0.000,-999.000,0.000,-999.000
20130603,-87.26784,34.38204,2283.376,0.030,-999.000,0.066,-999.000,65.821,57.132,0.296,1296.000,0.180,-999.000,0.000,0.129,0.708,2141.000,0.708,-999.000,0.023,259.500,0.023,-999.000,0.582,1408.000,0.001,21.920,0.100,411.000,0.000,-999.000,0.000,-999.000
20130603,-87.33039,34.38637,2282.737,0.030,26.047,0.068,19.700,68.005,57.925,0.286,1296.000,0.175,-999.000,0.000,0.142,0.686,2141.000,0.686,-999.000,0.021,259.500,0.021,-999.000,0.574,1408.000,0.000,21.920,0.100,411.000,0.000,-999.000,0.000,-999.000
20130603,-87.39208,34.39085,2281.197,0.030,23.495,0.068,21.544,68.005,58.052,0.286,1337.000,0.175,-999.000,0.000,0.096,0.686,2211.000,0.686,-999.000,0.021,253.400,0.021,-999.000,0.574,1375.000,0.000,21.710,0.100,364.000,0.000,-999.000,0.000,-999.000
20130603,-87.45358,34.39531,2282.542,0.030,23.507,0.070,21.256,69.608,57.666,0.275,1337.000,0.169,-999.000,0.000,0.126,0.663,2211.000,0.663,-999.000,0.019,253.400,0.019,-999.000,0.566,1375.000,0.000,21.710,0.100,364.000,0.000,-999.000,0.000,-999.000
20130603,-87.51486,34.39816,2280.497,0.030,23.301,0.070,18.763,69.608,58.002,0.275,1312.000,0.169,-999.000,0.000,0.115,0.663,2128.000,0.663,-999.000,0.019,251.700,0.019,-999.000,0.566,1375.000,0.000,22.370,0.100,385.000,0.000,-999.000,0.000,-999.000
20130603,-87.55247,34.36953,2277.899,0.028,22.625,0.061,21.009,60.618,57.098,0.361,1312.000,0.191,-999.000,0.000,0.150,0.838,2128.000,0.838,-999.000,0.041,251.700,0.041,-999.000,0.621,1375.000,0.002,22.370,0.100,385.000,0.000,-999.000,0.000,-999.000
20130603,-87.51214,34.34058,2276.262,0.028,22.425,0.060,19.825,58.368,56.693,0.379,1308.000,0.202,-999.000,0.000,0.111,0.878,2146.000,0.878,-999.000,0.046,256.800,0.046,-999.000,0.635,1407.000,0.002,22.710,0.100,407.000,0.000,-999.000,0.000,-999.000
20130603,-87.43868,34.34199,2283.484,0.028,22.794,0.060,20.066,58.368,56.964,0.379,1308.000,0.202,-999.000,0.000,0.129,0.878,2146.000,0.878,-999.000,0.046,256.800,0.046,-999.000,0.635,1407.000,0.002,22.710,0.100,407.000,0.000,-999.000,0.000,-999.000
20130603,-87.36204,34.34483,2284.156,0.030,23.602,0.067,19.513,67.190,57.085,0.300,1294.000,0.176,-999.000,0.000,0.116,0.712,2115.000,0.712,-999.000,0.026,246.600,0.026,-999.000,0.584,1367.000,0.001,22.080,0.100,384.000,0.000,-999.000,0.000,-999.000
20130603,-87.28458,34.34770,2285.646,0.030,22.786,0.065,19.996,64.644,57.093,0.314,1294.000,0.182,-999.000,0.000,0.105,0.742,2115.000,0.742,-999.000,0.029,246.600,0.029,-999.000,0.594,1367.000,0.001,22.080,0.100,384.000,0.000,-999.000,0.000,-999.000
20130603,-87.20644,34.34990,2284.422,0.032,-999.000,0.068,-999.000,69.315,57.248,0.293,1283.000,0.179,-999.000,0.000,0.109,0.668,2139.000,0.668,-999.000,0.020,256.600,0.020,-999.000,0.569,1404.000,0.000,21.260,0.100,435.000,0.000,-999.000,0.000,-999.000
20130603,-87.12961,34.34648,2252.058,0.026,-999.000,0.054,-999.000,57.832,57.700,0.378,1283.000,0.209,-999.000,0.000,0.129,0.885,2139.000,0.885,-999.000,0.047,256.600,0.047,-999.000,0.640,1404.000,0.002,21.260,0.100,435.000,0.000,-999.000,0.000,-999.000
20130603,-87.06626,34.35607,1876.549,0.030,-999.000,0.064,-999.000,55.991,55.392,0.420,1560.000,0.318,-999.000,0.000,0.097,0.863,2579.000,0.863,-999.000,0.037,300.700,0.037,-999.000,0.627,1473.000,0.004,22.760,0.100,500.000,0.000,-999.000,0.000,-999.000
20130603,-87.09339,34.38142,1402.188,0.007,38.308,0.014,54.512,46.961,51.263,0.329,1560.000,0.121,-999.000,0.000,0.207,0.902,2579.000,0.902,-999.000,0.038,300.700,0.038,-999.000,0.659,1473.000,0.001,22.760,0.100,500.000,0.000,-999.000,0.000,-999.000
